,Volume of$SPX,$SPX,Volume ofSPY,SPY,Volume ofIBM,IBM,Symbol,Order,rolling_mean,rolling_std,upper_band,lower_band,long execute,long exit,short execute,short exit,shares,Shares,Cash,Trades,Cummulative_Value
2009-10-08,4243961700.0,1065.48,183305800.0,101.31,6498000,116.03,IBM,None,114.284,1.4238768427,117.131753685,111.436246315,0,0,0,0,0,100,12682.0,0.0,12682.0
2009-10-09,3283378400.0,1071.49,135008300.0,101.93,13123100,119.49,IBM,None,114.658,1.74197286824,118.141945736,111.174054264,0,0,0,0,0,100,12682.0,0.0,12682.0
2009-10-12,3229343600.0,1076.19,118031000.0,102.33,7730500,120.54,IBM,None,115.045,2.12510433181,119.295208664,110.794791336,0,0,0,0,0,100,12682.0,0.0,12682.0
2009-10-13,3950865400.0,1073.19,157692700.0,102.12,7581300,120.52,IBM,None,115.409,2.40474290124,120.218485802,110.599514198,0,0,0,0,0,100,12682.0,0.0,12682.0
2009-10-14,4869049200.0,1092.02,191421600.0,103.87,9545500,121.78,IBM,None,115.7185,2.79580564606,121.310111292,110.126888708,0,0,0,0,0,100,12682.0,0.0,12682.0
2009-10-15,4810676400.0,1096.56,173873600.0,104.25,11904600,121.43,IBM,SELL,116.008,3.07325406147,122.154508123,109.861491877,0,0,1,0,-100,100,24825.0,-12143.0,12682.0
2009-10-16,4488577600.0,1087.68,192069400.0,103.48,19216900,115.42,IBM,BUY,115.986,3.07594298763,122.137885975,109.834114025,0,0,0,1,0,100,13283.0,11542.0,13283.0
2009-10-19,4125491100.0,1097.91,159530400.0,104.33,7514100,116.76,IBM,None,116.0565,3.07675713596,122.210014272,109.902985728,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-20,4741664300.0,1091.06,180921100.0,103.78,8780700,116.54,IBM,None,116.114,3.07439065422,122.262781308,109.965218692,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-21,5028912000.0,1081.4,225379300.0,102.85,7171000,114.68,IBM,None,116.116,3.07339414637,122.262788293,109.969211707,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-22,4633428600.0,1092.91,238444000.0,103.89,6027000,116.41,IBM,None,116.199,3.05693327579,122.312866552,110.085133448,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-23,4382316400.0,1079.6,240033200.0,102.71,6799200,114.2,IBM,None,116.165,3.0760971513,122.317194303,110.012805697,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-26,4838816600.0,1066.95,242028200.0,101.59,6538500,113.96,IBM,None,116.202,3.04308292431,122.288165849,110.115834151,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-27,4546349900.0,1063.41,253266300.0,101.13,9445400,114.48,IBM,None,116.2895,2.9620769296,122.213653859,110.365346141,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-28,5510256900.0,1042.63,248821400.0,99.22,8780400,115.28,IBM,None,116.379,2.89941718282,122.177834366,110.580165634,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-29,4844492100.0,1066.11,198110600.0,101.35,6309400,116.58,IBM,None,116.6145,2.69820500762,122.010910015,111.218089985,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-10-30,5595664500.0,1036.19,325608100.0,98.41,7711700,114.44,IBM,None,116.69,2.60934353511,121.90868707,111.47131293,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-02,5017092389.0,1042.88,254222900.0,99.13,7049400,114.39,IBM,None,116.7285,2.56699963094,121.862499262,111.594500738,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-03,4698829100.0,1045.41,228362600.0,99.45,5706800,114.96,IBM,None,116.7195,2.57317022367,121.865840447,111.573159553,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-04,4768400800.0,1046.5,247996700.0,99.7,6353300,115.08,IBM,None,116.6485,2.59900643972,121.846512879,111.450487121,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-05,4322173900.0,1066.63,180015300.0,101.54,6701800,116.8,IBM,None,116.687,2.59506231545,121.877124631,111.496875369,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-06,3715180800.0,1069.3,170954100.0,101.8,4979600,117.7,IBM,None,116.5975,2.52317443125,121.643848863,111.551151137,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-09,3928288900.0,1093.08,159495700.0,104.12,7764600,120.09,IBM,None,116.575,2.48792769399,121.550855388,111.599144612,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-10,3797733200.0,1093.01,171899800.0,104.14,6444500,120.96,IBM,None,116.597,2.52629768634,121.649595373,111.544404627,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-11,3639411500.0,1098.51,169466200.0,104.67,6530800,121.22,IBM,None,116.569,2.46826574531,121.505531491,111.632468509,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-12,3565093600.0,1087.24,157144500.0,103.61,5345400,120.34,IBM,None,116.5145,2.36516489912,121.244829798,111.784170202,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-13,3208259400.0,1093.48,150963000.0,104.17,4979700,121.07,IBM,None,116.797,2.55718410098,121.911368202,111.682631798,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-16,3943118900.0,1109.3,210922200.0,105.68,7822500,122.2,IBM,None,117.069,2.8280175314,122.725035063,111.412964937,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-17,3252929400.0,1110.32,147134100.0,105.8,1027500,122.6,IBM,None,117.372,3.0816256817,123.535251363,111.208748637,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-18,3711761400.0,1109.8,156486800.0,105.74,3970100,122.14,IBM,None,117.745,3.18827044353,124.121540887,111.368459113,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-19,3786510000.0,1094.9,208734600.0,104.36,5308400,121.56,IBM,None,118.0025,3.2813842955,124.565268591,111.439731409,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-20,3367162000.0,1091.38,134196000.0,103.99,5354200,121.0,IBM,None,118.3425,3.21833705834,124.779174117,111.905825883,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-23,3274976895.0,1106.24,148010200.0,105.31,7003500,122.19,IBM,None,118.754,3.15399896539,125.061997931,112.446002069,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-24,3198948300.0,1105.65,138420100.0,105.47,4816500,121.93,IBM,None,119.1265,3.06122829665,125.248956593,113.004043407,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-25,2515961000.0,1110.63,109564800.0,105.84,3967700,121.31,IBM,None,119.428,2.95764237545,125.343284751,113.512715249,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-27,1938936600.0,1091.49,126001800.0,104.12,3319200,119.8,IBM,None,119.589,2.88110158026,125.351203161,113.826796839,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-11-30,3552348000.0,1095.63,160874800.0,104.47,6302700,120.42,IBM,None,119.888,2.61679313584,125.121586272,114.654413728,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-01,3678709000.0,1108.86,159613700.0,105.77,6578600,121.94,IBM,None,120.2655,2.30830417361,124.882108347,115.648891653,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-02,3120866800.0,1109.24,132315100.0,105.72,4597900,121.24,IBM,None,120.5795,1.94755575557,124.474611511,116.684388489,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-03,4130150396.0,1099.92,167324900.0,104.89,5760000,121.57,IBM,None,120.904,1.46354076778,123.831081536,117.976918464,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-04,5194526404.0,1105.98,274907800.0,105.49,7068500,121.28,IBM,None,121.128,1.10005071654,123.328101433,118.927898567,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-07,3423162874.0,1103.25,127973800.0,105.33,4144400,121.08,IBM,None,121.297,0.749456645287,122.795913291,119.798086709,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-08,3990404022.0,1091.94,169863700.0,104.16,5351400,120.85,IBM,None,121.335,0.702855079775,122.74071016,119.92928984,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-09,3500185028.0,1095.95,155063400.0,104.55,6071900,122.37,IBM,None,121.4055,0.733316008572,122.872132017,119.938867983,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-10,3457825967.0,1102.35,138014600.0,105.14,7077800,123.27,IBM,None,121.508,0.841337281392,123.190674563,119.825325437,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-11,2973779975.0,1106.41,124854000.0,105.59,6597200,123.6,IBM,None,121.671,0.91565277262,123.502305545,119.839694455,0,0,0,0,0,100,13283.0,0.0,13283.0
2009-12-14,3705971044.0,1114.11,107141500.0,106.31,5201300,123.83,IBM,SELL,121.809,1.02210258009,123.85320516,119.76479484,0,0,1,0,-100,100,25666.0,-12383.0,13283.0
2009-12-15,4298356378.0,1107.93,120408800.0,105.81,7862600,122.46,IBM,None,121.822,1.02896780166,123.879935603,119.764064397,0,0,0,0,-100,100,25666.0,0.0,13420.0
2009-12-16,4528223222.0,1109.18,155358200.0,105.97,6372500,122.67,IBM,None,121.8255,1.03186838716,123.889236774,119.761763226,0,0,0,0,-100,100,25666.0,0.0,13399.0
2009-12-17,6937939509.0,1096.08,183390100.0,104.7,5909500,121.42,IBM,BUY,121.7895,1.03287781415,123.855255628,119.723744372,0,0,0,1,0,100,13524.0,12142.0,13524.0
2009-12-18,7425143380.0,1102.47,174591200.0,105.29,9106600,121.91,IBM,None,121.807,1.03174915352,123.870498307,119.743501693,0,0,0,0,0,100,13524.0,0.0,13524.0
2009-12-21,3397516445.0,1114.05,118039600.0,106.36,4772500,122.61,IBM,None,121.8875,1.02827333557,123.944046671,119.830953329,0,0,0,0,0,100,13524.0,0.0,13524.0
2009-12-22,2860667823.0,1118.02,91707500.0,106.75,5535500,123.83,IBM,None,121.9695,1.11536859615,124.200237192,119.738762808,0,0,0,0,0,100,13524.0,0.0,13524.0
2009-12-23,2498514708.0,1120.59,111783100.0,106.96,4127600,123.9,IBM,None,122.068,1.19578470162,124.459569403,119.676430597,0,0,0,0,0,100,13524.0,0.0,13524.0
2009-12-24,975580122.0,1126.48,39677500.0,107.46,4265100,124.44,IBM,None,122.2245,1.29228673289,124.809073466,119.639926534,0,0,0,0,0,100,13524.0,0.0,13524.0
2009-12-28,2081255216.0,1127.78,87508500.0,107.69,5800400,126.1,IBM,None,122.5395,1.43062178238,125.400743565,119.678256435,0,0,0,0,0,100,13524.0,0.0,13524.0
2009-12-29,1867821021.0,1126.2,80572500.0,107.54,4184200,125.66,IBM,SELL,122.8015,1.50016235964,125.801824719,119.801175281,0,0,1,0,-100,100,26090.0,-12566.0,13524.0
2009-12-30,1814926212.0,1126.42,73138400.0,107.5,3867000,126.35,IBM,None,123.022,1.68017104393,126.382342088,119.661657912,0,0,0,0,-100,100,26090.0,0.0,13455.0
2009-12-31,1801458495.0,1115.1,90637900.0,106.47,4223400,124.76,IBM,None,123.198,1.66799785435,126.533995709,119.862004291,0,0,0,0,-100,100,26090.0,0.0,13614.0
